dialogueNumber,time,text,emotion_tone_sadness,emotion_tone_joy,emotion_tone_fear,emotion_tone_anger,emotion_tone_disgust,social_tone_openness_big5,social_tone_conscientiousness_big5,social_tone_agreeableness_big5,social_tone_extraversion_big5,social_tone_emotional_range_big5,language_tone_analytical,language_tone_tentative,language_tone_confident
43,"00:03:19,125 --> 00:03:22,038
","Te Kā and the demons of deeds...

",0.093277,0.229513,0.517816,0.120762,0.118052,0.74325,0.356389,0.588407,0.502767,0.705017,0.0,0.0,0.0
44,"00:03:22,062 --> 00:03:23,824
","...Still hunt for the heart.

",0.344971,0.439714,0.073367,0.16587,0.045574,0.26953,0.334917,0.529294,0.238981,0.567381,0.0,0.0,0.0
45,"00:03:24,403 --> 00:03:28,587
","Hiding in the darkness
that will continue to spread...

",0.150687,0.062503,0.76429,0.045992,0.053352,0.725945,0.255375,0.679331,0.246896,0.443309,0.541163,0.0,0.0
46,"00:03:28,609 --> 00:03:30,577
","...Chasing away our fish...

",0.296907,0.155282,0.195487,0.058949,0.382332,0.227675,0.275539,0.591707,0.512771,0.234488,0.0,0.0,0.0
47,"00:03:30,871 --> 00:03:34,268
","...Drawning the life
from island of the island...

",0.303801,0.497499,0.130244,0.053584,0.055681,0.526757,0.122561,0.567346,0.383572,0.347733,0.0,0.0,0.0
48,"00:03:34,284 --> 00:03:36,649
","...Untill every one of us...

",0.279423,0.449928,0.128382,0.083112,0.115276,0.068341,0.408434,0.566909,0.168052,0.230872,0.0,0.0,0.961633
49,"00:03:36,674 --> 00:03:44,012
","...is devoured by the bloodlusted joys
of inescapeable death!

",0.201897,0.613554,0.138873,0.021092,0.071013,0.785291,0.22915,0.597152,0.122544,0.099931,0.0,0.0,0.0
50,"00:03:48,873 --> 00:03:52,595
","But one day,
the heart will be found...

",0.153249,0.667959,0.073454,0.146115,0.007929,0.279434,0.432956,0.872636,0.001908,0.228223,0.908592,0.0,0.0
51,"00:03:52,627 --> 00:03:55,818
","...By someone who would
journey beyond the reef...

",0.106608,0.319909,0.124265,0.10296,0.423105,0.760075,0.11431,0.828983,0.683776,0.16875,0.0,0.987926,0.0
52,"00:03:55,833 --> 00:03:59,571
","...find Maui, deliver him
across the great ocean...

",0.189301,0.486294,0.135883,0.213205,0.043686,0.54872,0.150112,0.795266,0.819707,0.642896,0.908592,0.0,0.0
